text,vague,predicted_vague
"At the executive level, we regularly conduct talent assessment evaluations that inform the types of training opportunities offered to our most senior leaders, including women in senior leadership positions.
",notESG,notESG
"It is a direct outgrowth of our value of Respect for Each Other, which similarly shapes our efforts to promote equal opportunity and our categorical rejection of all forms of discrimination.
",notESG,notESG
"Strategies, capital, innovation and stakeholder engagement enable us to focus our resources and develop plans in the areas of greatest potential impact to ExxonMobil and society.
",generic,generic
"Fiber based toys or fiber components in the toys: 100% certified fiber required.
",specific,specific
"DGE led a committee that identified and created a database of more than 1,000 vendors to open doors to diverse businesses in the production and post production categories.
",specific,specific
"While many materials are measured directly for a wide variety of products, some volumes are estimated.
",ambiguous,ambiguous
"In addition, they facilitate colleague engagement in EHS thereby enabling continuous improvement.
",notESG,notESG
"When we feel in our bodies that this is our planet to nurture, together, she tells us, that’s when we’re empowered to act for our collective future.
",notESG,notESG
"Where actual data is not available, consumption is estimated.
",ambiguous,ambiguous
"From a managerial perspective, Pfizer is adopting a collective talent mindset to support colleague growth across the entire organization.
",notESG,notESG
"Pfizer CEO and Chairman, Albert Bourla, as well as other leadership met directly with patients and advocates to learn about their experiences and discuss how Pfizer can continue to embed the patient perspective into our work to discover, develop, and bring to market medicines and vaccines.
",notESG,notESG
"We also have been calling on policymakers, worker representatives, and other platforms to work together to take new steps toward meaningful participation and innovative approaches to dialogue .
",generic,generic
"Our Nominating and Governance Committee oversees ongoing review of the performance of our Board, committees, and each individual director, including oversight of the annual self evaluation process and the implementation and review of our corporate governance guidelines .
",notESG,notESG
"We meet regularly with driver and courier associations in many countries and regions, including Brazil, France, New York, and Washington State (US) .
",notESG,notESG
"Our recent efforts have focused on collaborating with an ecosystem of suppliers and research organizations to develop, continuously improve and commercially scale stevia and other naturally derived sugar alternatives.
",ambiguous,ambiguous
"Now in its second year, Disney on the Yard continues to build a community for alumni from Historically Black Colleges and Universities (HBCUs) and provides meaningful opportunities for HBCU students who dream of one day working in the entertainment field.
",notESG,notESG
"The suite of NAX programs provide curated and intentional experiences at WHQ and in the field to elevate talent within the NIKE ecosystem, and develop the future leaders of NIKE.
",notESG,notESG
"Each large industrial project is carried out in accordance with an industrial strategy designed to maximize the impact for the host country in terms of local jobs and value creation through purchasing (consid eration of the local content impact in selection processes), manufacturing, support for local business and development of local skills (professional training).
",specific,specific
"In 2021, we surpassed 5.5 billion in annual spending with local suppliers in select countries, and with diverse suppliers and small businesses globally.
",specific,specific
"Both scores are above the industry average of 75 and are graded as A and A results.
",notESG,notESG
"Whether it’s supporting charitable efforts or uplifting communities impacted by hardship and disaster, we know collaboration is key to making a substantial impact on those who need it most.
",generic,generic
"Through this four month engagement, distribution centers demonstrated improvements on or addressed 80% of the findings.
",specific,specific
"Our patient centric purpose and established culture of quality and safety are of paramount importance as we innovate and continue to deliver breakthroughs.
",notESG,notESG
"This amount is higher than investment in new oil and gas projects, which come to less than 20% of the total (including 500 million invested in exploration).
",specific,specific
"Emerging leaders at mid career: recognizing the objective of overcoming barriers for continued development.
",notESG,notESG
"Reducing emissions at the facilities also means developing industrial processes for carbon capture, transport and storage (CCS1), a field in which TotalEnergies wields critical expertise in large scale project management, gas treatment and geoscience.
",specific,specific
"These guidelines apply to our Studio promotions, food and beverage licensing, third party advertising on our kids’ networks, and kids’ meals in Disney Parks.
",notESG,notESG
"Our suppliers, vendors and contractors are held to stringent compliance, anti corruption, conflict of interest, safety and other guidelines in order to remain in good standing.
",specific,specific
"Additional Resources Learn more about our approach to food safety on our Food Safety page.
",notESG,notESG
"We have verified through the ones undertaken at our suppliers’ farms that 96,700 hectares of land are being managed to support biodiversity in 2022.
",specific,specific
"Additionally, our Global Privacy Office maintains an enterprise wide policy and standards that guide the collection, maintenance, and protection of personal data and consider the legal and regulatory requirements where we do business.
",notESG,notESG
"Tier 1 focus factory data is self reported by factories and may be incomplete.
",ambiguous,ambiguous
"A 2021 survey of drivers and couriers working with Uber in the US found that nearly 75% reported having worked with at least one platform other than Uber .
",notESG,notESG
"In 2013, Lewis College of Business (its original name), based in Detroit, closed its doors.
",notESG,notESG
"This shift enables us to capture feedback inputs throughout the year, allowing us to better support the needs of a constantly changing workforce .
",notESG,notESG
"In 2022, we expanded our comprehensive digital wellness education programs with new programs in Belgium, Bulgaria, Kenya, Nigeria, and South Africa.
",notESG,notESG
"Trends that back up our view The United States and United Kingdom have reduced their greenhouse gas emissions by replacing coal fired power plants with gas fired units.
",notESG,notESG
"We expect to reach an average hourly wage above 15 for Company owned restaurant employees in 2023.
",notESG,notESG
"As we work to maximize the value of our competitive position in the Permian, we are working to safeguard the Permian’s water sources, including availability and quality.
",ambiguous,ambiguous
"These ambitious goals focus on delivering exceptional nancial and sustainable outcomes for our customers and all stakeholders, creating lasting value while also making a meaningful difference throughout the world.
",generic,generic
"You know that sport changes the way we see ourselves, and the way we see the world.
",notESG,notESG
"We’re committed to you, and to the cities in which we serve because we believe that when you thrive, when people connecting on our platform thrive, and when cities thrive, Uber thrives .
",notESG,notESG
"This past year remained challenging in many parts of the world.
",notESG,notESG
"My sister, Venus, and I knew that the courts we practiced on weren’t opened with us in mind.
",notESG,notESG
"Our approach focuses on attracting, engaging, developing, and rewarding a talented, diverse team while providing a respectful, collaborative, and safe work environment.
",notESG,notESG
"The live training sessions were well received, with managers reporting greater understanding and increased comfort levels educating their teams on how pay decisions are made.
",notESG,notESG
"ARI also has a thorough and detailed methodology, including extensive on the ground research that assess cost of living to determine an accurate benchmark.
",notESG,notESG
"NIKE offers a variety of family building benefits including fertility treatment, adoption and surrogacy coverage to support all paths to parenthood.
",notESG,notESG
"Prior to conversion to CO2e, metric tons of GHG emissions by gas are 79,962, 8, 0.62, and 2.29 of CO2, CH4, N2O, and R 410A, respectively.
",specific,specific
"We are committed to seeking out knowledgeable and credible sources of information, as well as reaching out for and carefully evaluating comments from those accused of wrongdoing and others with relevant information and perspectives on the matters that we are covering.
",notESG,notESG
"We leverage current processes and systems to assess our direct suppliers for potential human rights risks in the supply chain.
",specific,specific
"Based on Pfizer’s experience working with Ministries of Health and multilateral organizations during this unprecedented scale up of a vaccination campaign, we recognize countries are facing multiple issues when it comes to supply planning and delivery, including the ability to absorb vaccine in the country, lower uptake rates due to hesitancy, limited ultra cold chain capacity or infrastructure to properly move or store vaccines, syringe supply, and other downstream capacity issues like workforce constraints.
",ambiguous,ambiguous
"During its annual strategic reviews, the Board will examine the appropriateness of this strategy and its targets for reducing greenhouse gas emissions in the light of progress in international and national policies, new decar bonization scenarios, advances in low carbon technologies, action taken by other sectors including our customers with our active support and other changes in society concerning the energy transition.
",ambiguous,ambiguous
"More information can be found in ExxonMobil’s Outlook for Energy.
",notESG,notESG
"By contrast, it does not have control over emissions from the end use of its products by its customers (Scope 3), and trends in those emissions depend largely on external factors, such as government policies and customer choices (for additional information on the de nition of Scope 1, 2 and 3, refer to the Universal Registration Docu ment).
",ambiguous,ambiguous
"As well as designing our sites to be more sustainable, we’re working with our suppliers and farmers across the world to scale regenerative farming practices that can improve productivity, build resiliency to a changing climate and conserve the forests and natural ecosystems we all depend on.
",ambiguous,ambiguous
"As the AMR Benchmark is published every 2 years, the 2022 disclosure is the same as the 2021 disclosure.
",notESG,notESG
"You should not place undue reliance on forward looking statements, which speak only as of the date they are made.
",notESG,notESG
"Assumptions on global average waste treatment pathways remain unchanged.
",ambiguous,ambiguous
"Through Yardrunners 3.0, NIKE worked with the community to tell authentic stories, co create culturally relevant product, deliver scholarships, activate on campuses throughout homecoming and establish networking opportunities through NIKE’s University Recruiting team with a sharp focus on engaging candidates from a diversity of backgrounds.
",notESG,notESG
"For example, we are using artificial turf and are implementing a sophisticated irrigation control system at Disneyland Resort as part of drought fighting efforts.
",specific,specific
"In FY22, 24 in scope facilities measured and improved engagement.
",specific,specific
"At Walt Disney Imagineering, we make the impossible possible.
",notESG,notESG
"We combine innovation and storytelling to bring Disney stories, characters, and worlds to life.
",notESG,notESG
"In 2022, we conducted bottler and government advocacy.
",notESG,notESG
"We participated in a meeting to discuss emerging risk identification in the food chain hosted by the European Food Safety Agency (EFSA).
",notESG,notESG
"Regenerative water use means facilities must reduce, reuse, recycle and replenish the water used in operations in the local correlated watersheds for beneficial social, economic and or environmental uses by other stakeholders and nature.
",specific,specific
"The initiative enables physical education (PE) teachers and staff to transform children’s sport experiences through innovative PE classes.
",notESG,notESG
"For example, in calendar year 2022, our Investor Relations team contacted more than 95% of our largest 50 shareholders, and our Investor Relations team and Board held two formal rounds of shareholder engagement.
",notESG,notESG
"Participants run through realistic scenarios and interact with local authorities and agencies.
",notESG,notESG
"Safety data are based on information at the time of publication.
",notESG,notESG
"These elements enable ExxonMobil to address total workforce health more effectively.
",notESG,notESG
"Donations may include, but are not limited to, estimated values for merchandise, theme park tickets, food, public service announcements (PSAs), character talent appearances, and other noncash charitable support.
",notESG,notESG
"Learn more about Kevin’s determination to combat the stigma of this rare disease and his passion for patient advocacy here.
",notESG,notESG
"Post program surveys showed that 100% of participants took at least two actions as a result of participating.
",notESG,notESG
"In FY22, we were able to tap into and elevate the largest and most diverse talent pool yet at NIKE. We currently have five programs that sit within our suite of career experiences in the NAX program for Firstline retail athletes, and hope to expand into Converse, distribution centers and Air MI in FY23.
",notESG,notESG
"We invited more than 35 nonprofit partners from the Portland metro area to connect with employees about volunteer and coaching opportunities.
",notESG,notESG
"Exclusions: Products that are not Filet O Fish containing wild caught or the Netherlands, Poland, South Korea, Spain, Switzerland, the U.K. and the U.S. farmed fish.
",notESG,notESG
"In February 2022, TotalEnergies and the Ugandan Ministry of Energy and Minerals also signed a Memorandum of Under standing (MoU) for the development of renewable energy with the objectives of developing 1 GW of installed capacity, pro moting access to electricity and clean energy, and supporting national climate change objectives through the deployment of carbon footprint reduction projects.
",ambiguous,ambiguous
"Uber actively partners with companies and regional authorities to help reduce reliance on single occupant vehicles, offering an entire suite of mobility options to support choosing green .
",ambiguous,ambiguous
"This affects our ability to source consistently to our ambitious 100% target.
",ambiguous,ambiguous
"The program offers workshops and physical activity sessions to educate parents on the benefits of physical activity and demonstrate the proven link to increased concentration and kids’ overall well being.
",notESG,notESG
"We are focused on developing a strategy to connect with our talent acquisition team and identify key roles that fit OneTen eligibility, with the goal of hiring in FY23.
",notESG,notESG
"Forward looking statements involve known and unknown risks, uncertainties, and other factors that may cause our actual results, performance, or achievements to be materially different from any future results, performance, or achievements expressed or implied by the forward looking statements .
",notESG,notESG
"Care for the Environment Based on detailed reviews and mapping of sensitive areas, TotalEnergies pledges to implement action plans that help produce a biodiversity net gain in the execution of its proj ects, meaning that it will leave the environment in better con dition than before the projects began.
",specific,specific
"Demand for recycled PET plastic for food grade supports the DASANI brand's pledge to remove applications currently exceeds supply, so we need the equivalent of 2 billion virgin plastic bottles to help build a sustainable pipeline of high quality from production by 2027 compared to 2021 material.
",ambiguous,ambiguous
"See previous page for some of the organizations we engage with regularly.
",notESG,notESG
"To create the most transformative change, the programs focus on LA youth who are the least able to access play and sport Latina girls in two of the neighborhoods with the greatest opportunity to close the gap in play equity: Boyle Heights and Watts.
",notESG,notESG
"The replenish benefit is typically estimated as a long term, average annual volume, but for some project activities it varies annually.
",ambiguous,ambiguous
"With RSV’s potentially serious and in some cases life threatening impacts, RSVpreF has the potential to be the first maternal vaccine candidate to help protect infants from birth through six months of age, if approved.
",notESG,notESG
"In addition, the overarching ESG factors, including the three metrics used in the ESG Scorecard for the short term annual incentive plan, may also be included in the individual performance goals of executives throughout the organization, which will further align their compensation with ESG factors.
",ambiguous,ambiguous
"This is extremely rare for fatalities, automated decision making .
",notESG,notESG
"More than 5,000 KKH employees and leaders from multiple departments were in attendance.
",notESG,notESG
"The remaining global markets are expected to transition to fiber based cutlery by end of 2025.
",specific,specific
"We spent 2.4 billion of the 5.5 billion in the U.S. with businesses owned by minorities, women, lesbian, gay, bisexual and transgender individuals, veterans, service disabled veterans, people with disabilities and small businesses.
",specific,specific
"We plan to share an update on this journey by the end of 2023.
",ambiguous,ambiguous
"We’re a company that is guided by our values courage, excellence, equity, and joy.
",notESG,notESG
"The mission of The Walt Disney Company is to entertain, inform, and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds, and innovative technologies that make ours the world’s premier entertainment company.
",notESG,notESG
"Pfizer policy prohibits all forms of bribery and corruption, whether by colleagues or our business partners.
",notESG,notESG
"Communities may decide whether they want us to meet with elected leaders, community elders or other representatives, and whether those engagements are conducted in a public forum, either formally or informally.
",notESG,notESG
"Acquired a 20% interest in Adani Green Energy Limited.
",notESG,notESG
"In 2023, Deere team members attended multiple conferences to connect with minority , women , and veteran owned businesses and suppliers that are in historically underutilized business zones.
",notESG,notESG
"Everyone’s invited because the next great innovation could come from anyone on the team.
",notESG,notESG
"Operating Return on Sales (OROS), and Shareholder Value Added (SVA) are non GAAP (general accepted accounting principles) measures.
",notESG,notESG
"Emissions for 2022 were 11.2% lower than the 2019 baseline.
",specific,specific
"Delivering a circular economy will require we updated our collection tracking guidance to collection sector in the circular economy.
",ambiguous,ambiguous
"This integration with KAYAK accelerates these positive changes for travelers and local communities alike.
",notESG,notESG
"One of these actions is reporting on our environmental and social activities.
",generic,generic
"The North Sea is ideal setting for such projects, offering significant storage potential close to major industrial centers.
",specific,specific
"In FY22, Converse employees volunteered more than 950 hours, including one of a kind creative opportunities for youth, like the design and development of the 2022 All Star Weekend Celebrity Game jerseys.
",notESG,notESG
"You know the girl who’s too scared to play She’ll notice that you keep coming back, that you remember her name and that you know how far she jumped last week.
",notESG,notESG
"In partnership with global suppliers and an external third party facilitator, we are in the process of concluding an extensive, two year commercial trials initiative to inform our KWIs target setting efforts and to study the impacts that certain production parameters such as breed and stocking density have on welfare, environmental and economic outcomes.
",ambiguous,ambiguous
"During the course of the week, we engaged several hundred employees from across the globe .
",notESG,notESG
"I’ve not only found my own way, but I have the privilege of standing on the shoulders of those who wouldn’t let adversity take them down.
",notESG,notESG
"We expect 90% of the energy demand to be met from renewable sources when it opens and for the site to be fully powered by renewable energy by 2030.
",specific,specific
"The impacts are already evident, with much stronger return rates post holiday, where we often see high rates of attrition, and lower turnover and unplanned absenteeism rates compared to other factories.
",notESG,notESG
"Building off the credible standards for sustainable accommodation already in place, Booking.com has collaborated with industry experts to identify a set of the most impactful practices for a property to consider in five key areas: waste, energy and greenhouse gases, water, supporting local communities and protecting nature.
",generic,generic
"When soaring temperatures force the cancelation of football matches, it’s youth teams who are left with nowhere to play.
",notESG,notESG
"This index measures the extent that our teammates feel that NIKE supports a culture of diversity and inclusion, as well as their personal perceptions around feeling valued and included.
",notESG,notESG
"In 2022 Priceline launched our first Diversity Leadership Team (DLT). The DLT is a consortium of 14 leaders from across the organization focused on enhancing DI B at Priceline through work in our four DI B strategy quadrants: Workforce (representation) Workplace (inclusion, belonging, retention) Marketplace (servicing and meeting the needs of a diverse customer base) and Community (volunteerism and charitable giving aligned with our DI B commitment).
",notESG,notESG
"Reservation Dogs: Courtesy of FX Networks Copyright 2023, FX Networks.
",notESG,notESG
"Additionally, we began development of a new custom unconscious bias awareness training that will be rolled out to all employees, with the goal of 96% completion.
",notESG,notESG
"Together, we need to ensure that the future is one where sport accounts for all genders in an equitable, affirming and environmentally responsible way.
",generic,generic
"More information on the risk assessment process for climate change is provided in the risk assessment section below.
",ambiguous,ambiguous
"We work with suppliers to mutually set objectives and targets, monitor progress and engage collaboratively on shared innovation opportunities and challenges.
",ambiguous,ambiguous
"We know progress in this space is not always linear and we intend to farmed fish.
",ambiguous,ambiguous
"This initiative enables companies to exchange basic information about drivers who have been deactivated for serious sexual assault or physical assault fatalities to help prevent these individuals from operating on another platform .
",notESG,notESG
"GHGSat in 2021 to quantify small leaks and develop satellite based measurement technology suitable for offshore facilities, a world first.
",specific,specific
"Wetland treatment system construction (Uchhali Complex and South Punjab, Pakistan) a. VWB Indicator: Treatment efficiency b.
",notESG,notESG
"Our employees were able to learn about new tools, receive individual career counseling, network with industry peers, and attend leadership training and classes on change and design thinking.
",notESG,notESG
"Grants funded by the Foundation complement the contributions of our company operating units and bottling partners.
",notESG,notESG
"To avoid overclaiming benefits from recycling, we only count the portion of the unit that is recycled in our target performance numbers.
",specific,specific
"Further demonstrating our commitment to sustainability, we are actively engaged in research and development, as well as collaboration efforts, to reduce our downstream greenhouse gas emissions.
",ambiguous,ambiguous
"In 2020, she joined the first cohort of the Serena Williams Design Crew, a diverse collective of emerging designers committed to redrawing the future of design.
",notESG,notESG
"This would include kissing on the lips or kissing while using tongue .
",notESG,notESG
"Global: We partner with leading insurance companies to offer a range of protection solutions, including on app coverage for accidents and injuries while working and in some markets, income protection when drivers or couriers can’t work due to injury or sickness .
",notESG,notESG
"Providing a best in class employee experience where people are given opportunities to learn and develop is a business imperative because it directly impacts the customer experience.
",notESG,notESG
"The OIMS framework contains 11 elements related to leadership, operations and maintenance, community relations, emergency response, incident investigation and information and documentation, among others.
",notESG,notESG
"I stand proudly today as an athlete with a disability.
",notESG,notESG
"Our clinical trials (page 44) are designed around patient safety with equitable and inclusive participation.
",notESG,notESG
"We focus internal planning and resources toward supporting new renewable electricity project development.
",ambiguous,ambiguous
"The DEI key performance indicators we established consisted of growing the percentage of women at Uber’s Manager level and above to 35% and growing the percentage of US URP at the Senior Analyst level and above to 14% by the end of 2022 .
",specific,specific
"JOHN DEERE is uniquely positioned to deliver both ECONOMIC and SUSTAINABLE VALUE for our customers through ADVANCED TECHNOLOGY and SOLUTIONS.
",generic,generic
"We do not have a significant portion of the organization’s activities performed by people who are not employees.
",notESG,notESG
"We also accelerated our capabilities to keep FPW out of landfill and incineration by refurbishing and reselling, donating or recycling 3.1 million units of finished product.
",specific,specific
"That’s why I use my skill as a player and my voice as an athlete to ask what true equity looks like, so that we are not leaving anyone behind.
",notESG,notESG
"Minority is defined as African American, Hispanic, Asian American, Native American, Pacific Islander or other types of ethnic minorities here in the United States.
",notESG,notESG
"Under the agreement, more than 15 Mt of CO2 equivalent will be prevented over ten years.
",specific,specific
"Pfizer is not reporting against this metric at this time.
",notESG,notESG
"CSR at Disney is led by our Executive Vice President (EVP), Corporate Social Responsibility, Jennifer Cohen, who reports to our Chief Executive Officer.
",notESG,notESG
"TotalEnergies creates and drives positive change for communities in its host territories and, more broadly, for its employees, suppliers, customers, partners, states and civil society.
",generic,generic
"Moving forward, we expect that these numbers will continue to evolve as data sources improve, at the same time that we work to increase rates of recycled material use.
",ambiguous,ambiguous
"By working for and with patients, caregivers, and advocates directly, we are able to better understand and serve the evolving needs of patients everywhere.
",notESG,notESG
"Access to transportation and food Working to avoid missed appointments isn’t the only way Uber improves public health .
",notESG,notESG
"NIKE continued our investment in the American Indian Science and Engineering Society (AISES) and sponsored the registration fee for 50 members of the University of Oklahoma AISES chapter.
",notESG,notESG
"The objective is for the Company’s petroleum prod uct sales not to exceed its oil production, which itself will peak during the decade before declining, at around 1.4 Mb d in 2030.
",specific,specific
"An opt in program in partnership with world class, expert leadership development firms, the purpose of the FLDP is to help accelerate the movement, representation and retention of talent.
",notESG,notESG
"For example, the 2017 dialog led to the development of a Pfizer Germany website and information platform, the Support for Me Patient Navigator.
",notESG,notESG
"Training 100% of executives, Country Chairs and project managers in human rights.
",specific,specific
"This has been a primary contributor to the emission reductions we’ve seen thus far.
",ambiguous,ambiguous
"These include offering balanced meals, simplifying ingredients, transparently communicating nutrition information, responsibly marketing to children and leveraging marketing innovations to encourage increased purchase of items containing recommended food groups.
",generic,generic
"Our Standards of Business Conduct apply to all employees and provide resources and tools to promote ethical conduct and compliance with the law.
",notESG,notESG
"At Pfizer’s logistics center in Memphis, Tennessee, we took steps to reduce the environmental impact of cold chain shipping operations.
",specific,specific
"We’ve doubled down on programs that enable groups of drivers and couriers to share feedback with Uber’s Operations and Product teams on behalf of their communities so that we can make meaningful changes .
",notESG,notESG
"We demonstrate our commitment to safety in numerous ways at our properties from the Imagineers who apply advanced safety technologies to our attractions, to our security cast members who patrol our properties 24 hours a day.
",notESG,notESG
"The university students and NIKE employees collectively dedicated more than 10,000 hours to inclusive play and sport sessions with the girls, ensuring that everyone felt empowered, supported and inspired.
",notESG,notESG
"The Walt Disney Company Fiscal Year 2022 10 K, p. 7.
",notESG,notESG
"The agricultural sector and the city of Cuauht moc are major water users.
",notESG,notESG
"In 2022, Agoda introduced a new learning management system to provide easy access to a wide variety of learning opportunities and resources.
",notESG,notESG
"They conducted two day onsite development events in each location to enhance employee growth opportunities and transformation to a future oriented learning culture while also strengthening relationships and networking.
",notESG,notESG
"Program In collaboration with our Social Community Impact team we provide grants to disability organizations across the world.
",notESG,notESG
"In 2022, McDonald’s China opened its first restaurant to receive LEED (Leadership in Energy and Environmental Design) Zero Carbon certification and Zero certification for net zero energy a Drive Thru restaurant in Shougang Park.
",specific,specific
"Pfizer continues to make progress towards these near term targets while advancing our long term Net Zero by 2040 goal.
",ambiguous,ambiguous
"Several of our businesses supported beach cleanup events in fiscal 2022.
",notESG,notESG
"India, the Philippines, Africa and the Middle East.
",notESG,notESG
"Allianz in the UK and Europe and AXA in France, where Uber fully funds on trip and off app benefits for eligible drivers and couriers, including injury, sickness, maternity, and paternity payments .
",notESG,notESG
"Progress: Our 2022 pay gap analysis indicates that McDonald’s substantially attained equal pay and, in 2023, we closed the small pay gaps identified in the analysis.
",specific,specific
"Our sustainability report is guided by Sustainability Accounting Standards Board (SASB), referencing Global Reporting Initiative (GRI) standards, and submitting our carbon disclosure to the CDP (formerly the Carbon Disclosure Project).
",specific,specific
"When the time has come to say goodbye to a pair of Nike Refurbished shoes, customers can do their part to help keep them out of landfills by choosing to donate or responsibly recycle them through our takeback programs.
",ambiguous,ambiguous
"Operated by an independent company, the hotline is available to receive con dential reports from anyone within or outside the company.
",notESG,notESG
"Privacy and cybersecurity: The Board oversees the senior management team’s efforts to address cybersecurity and data privacy risks .
",notESG,notESG
"As a major employer and investor in many malaria endemic countries, ExxonMobil has been part of a longstanding international effort to prevent, treat and cure the disease.
",notESG,notESG
"These updates can save nearly 2,700 gallons per day in rinse water waste.
",specific,specific
"Delivering and scaling our Solutions as a Service business model will deliver another leap forward for our customers, our dealers, and John Deere.
",notESG,notESG
"We look to our customers, partners, governments and travel industry peers for continued collaboration to build toward a more sustainable future.
",generic,generic
"TechGYRLS program provided access to opportunities in STEM for 200 girls in local communities.
",notESG,notESG
"Our success, today and in the future, is based on the talent, ingenuity and hard work of our people, fueled by pride in what we do and what we stand for.
",notESG,notESG
"In partnership with WWF Pakistan, we are working to address water scarcity and quality issues for approximately 360,000 people in.
",ambiguous,ambiguous
"In this report, we highlight our Sustainability Focus Areas and how we aim to help protect the environment and meet the needs of modern society.
",generic,generic
"That’s why, in 2022, we engaged a human rights advisory firm to conduct a holistic and rigorous review of our human rights program to ensure that we remain at the vanguard of responsible business.
",specific,specific
"Meanwhile, more than 2,800 women entrepreneurs have strengthened their skills and grown their businesses by participating in the Road to Growth program, a collaboration between the Cherie Blair Foundation for Women and ExxonMobil Foundation.
",notESG,notESG
"The Company’s belief is that the mobility of the future does not call for a single solution, but an array of complementary solutions.
",generic,generic
"Your favorite college track star shares that she can train at any time of day without worries of excessive heat.
",notESG,notESG
"In EMEA, we continued expanding the use of hydro treated vegetable oil a biofuel derived from vegetable oil oils in outbound logistics (from distribution centers to final destinations).
",specific,specific
"SOIL STEWARDSHIP: In 2023, One Acre Fund expanded its promotion of soil health improving practices, such as intercropping, crop diversi cation, composting, mulching, and lime application, as well as detailed agronomic guidance on input choice, planting timing, and farming techniques.
",specific,specific
"When I think about how NIKE leads with purpose, two words that come to mind are boldness and humility.
",notESG,notESG
"As we prepare our people to meet tomorrow’s food, housing, infrastructure, and energy challenges, we will need everyone’s perspectives and ideas to drive progress and fuel creative problem solving.
",generic,generic
"We have done this through more accurately track emissions reductions of assuring our claims to the GHG Protocol.
",ambiguous,ambiguous
"To ensure that a response to an incident will be coordinated and effective, each site conducts emergency drills in accordance with regulatory requirements or management guidelines, ranging from desktop exercises to full scale field drills.
",notESG,notESG
"ExxonMobil has a rigorous process to determine which public policy issues are of most importance to the corporation.
",notESG,notESG
"In 2021, we joined the United Nations Race to Zero campaign, committing to net zero emissions by 2050.
",generic,generic
"Our Spill Prevention Program establishes corporate wide procedures for inspecting and maintaining equipment, training operators and conducting practice drills.
",specific,specific
"More than 5,000 KKH employees and leaders from multiple departments were in attendance.
",notESG,notESG
"To gain a representative sample, 24 McDonald’s markets and more than 11,000 people participated.
",notESG,notESG
"Although we had already communicated quality and safety expectations to suppliers, the updated Code formalized our expectations across our supply chains.
",ambiguous,ambiguous
"Key reduction levers focused on encouraging employees to engage in more sustainable behaviors to achieve our waste reduction goals.
",ambiguous,ambiguous
"Starting in 2023, environmental audits of suppliers will be deployed, with a specific focus on responsible use of natu ral resources such as water.
",ambiguous,ambiguous
"Foundation and many nonprofits, governments, customers and other partners.
",notESG,notESG
"These inconsistencies led to a larger reported figure in previous years than what is reflective of McDonald’s actual water withdrawn.
",specific,specific
"In November 2020, Proposition 22 passed with support from over 58% of California voters .
",notESG,notESG
"We strive to ensure that human rights are upheld for our employees and all workers in our value chain.
",generic,generic
"Together with Kreisel, John Deere is expanding our electri cation portfolio to include more scalable solutions to meet a wider range of our customers’ application needs.
",notESG,notESG
"Our socioeconomic management practices are guided by our corporate Environmental Aspects Guide (EAG) and consistent with our Environment Policy and Operations Integrity Management System (OIMS).
",specific,specific
"When new materials and manufacturing processes are introduced in our supply chain, it’s a priority for us to anticipate, recognize, evaluate and control potential workplace hazards that may arise and cause sickness or impaired health.
",ambiguous,ambiguous
"By the end of FY21, all in scope supplier coal use was eliminated across footwear and apparel finished goods manufacturing.
",specific,specific
"In addition, with Yuva Unstoppable, we’ve helped create a holistic learning environment for students across 12 schools by providing resources for science labs, sports, arts, and technology (such as tablets).
",notESG,notESG
"As we look ahead, as remarkable as 2022 has been for Pfizer, I believe we have only scratched the surface of the transformative impact we can have on human health.
",notESG,notESG
"Managing cybersecurity, data protection and privacy risk is key among our responsibilities to customers and other persons whose data we collect and process.
",notESG,notESG
"The recruiters received diversity and inclusion training and were paired with two Ukrainian job seekers in their same field of work, with one based in Ukraine and the other in the volunteer's city.
",notESG,notESG
"The Compensation Committee also plays a significant role in the People pillar by overseeing talent management and development for executive officers and senior management, including with respect to employee engagement and workplace diversity and inclusion.
",notESG,notESG
"Reusables could result in more plastic waste if reusable items are not returned or reused a high volume of times.
",ambiguous,ambiguous
"The purpose of this standard is to identify and reduce water quality and quantity related challenges for our operations.
",specific,specific
"We are currently in the validation process of our targets with the SBTi.
",ambiguous,ambiguous
"Best practices for ensuring soil health include keeping it covered and minimizing soil disturbance to protect from the impacts of climate, reduce erosion, and keep water and key nutrients in place.
",specific,specific
"We will continue to invest in innovation for the small percentage of our packaging that currently has recycling challenges, including juice pouches, opaque packaging currently used for dairy beverages, and cartons.
",ambiguous,ambiguous
"Pfizer is leveraging digital, data, artificial intelligence (AI), and machine learning to accelerate innovation in the interests of patients at every step from discovery to clinical development, manufac turing, distribution, and commercialization.
",notESG,notESG
"In that same time period in the US, in aggregate, employees from underrepresented racial backgrounds earned 1 .00 for every 1 .00 (total cash) earned by non underrepresented peers at the same job level .
",notESG,notESG
"We believe our strategy increases competition and resiliency in our supply chain, fosters innovation through diversity of thought, and can generate economic value and create jobs in the communities in which we live and work.
",generic,generic
"Our net sales and revenues experienced a 16% increase, totaling 61.25 billion.
",notESG,notESG
"This information is also available in the Investors section of the company’s website, www.coca colacompany.com.
",notESG,notESG
"We are working to reduce our emissions by identifying ways to improve efficiency, reduce energy use, and use alternative low carbon fuels.
",ambiguous,ambiguous
"In FY22, a new feature was added to the tool for verification of recruitment fee payment and reimbursement to the foreign migrant workers.
",notESG,notESG
